name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Monanieba,1984,"215,496",0,"215,496"
Grief,1993,"215,428",0,"215,428"
Le fate ignoranti,2001,"215,339",0,"215,339"
Art and Craft,2014,"215,300",0,"215,300"
Call + Response,2008,"215,185",0,"215,185"
4 aventures de Reinette et Mirabelle,1987,"215,073",0,"215,073"
Bluebeard's 8th Wife,1923,"215,000",0,"215,000"
The Sailor from Gibraltar,1967,"215,000",0,"215,000"
The Killer Inside Me,2010,"214,966",0,"214,966"
Travelling North,1987,"214,722",0,"214,722"
Moolaadé,2004,"214,605",0,"214,605"
Neil Young Journeys,2011,"214,588",0,"214,588"
Together,2021,"214,390",0,"214,390"
Trade,2007/I,"214,202",0,"214,202"
Carandiru,2003,"213,954",0,"213,954"
The Year My Voice Broke,1987,"213,901",0,"213,901"
Conte d'hiver,1992,"213,687",0,"213,687"
Naked Fame,2004,"213,621",0,"213,621"
Do Knot Disturb,2009,"213,525",0,"213,525"
Grumpy,1923,"213,400",0,"213,400"
Bad ma ra khahad bord,1999,"213,253",0,"213,253"
Ôdishon,1999,0,"213,139","213,139"
SubHysteria,2010,0,"213,015","213,015"
"Vdokh, vydokh",2006,0,"213,000","213,000"
Primera nieve,2006,"212,971",0,"212,971"
Afflicted,2011,"212,940",0,"212,940"
Chris & Don. A Love Story,2007,"212,814",0,"212,814"
Supermensch: The Legend of Shep Gordon,2013,"212,701",0,"212,701"
Chocolate City,2015,"212,662",0,"212,662"
Bopha!,1993,"212,483",0,"212,483"
Foreign,2010,0,"212,352","212,352"
Akira,2016/I,"212,285",0,"212,285"
Love and Other Catastrophes,1996,"212,285",0,"212,285"
Fei zhou chao ren,1994,0,"212,285","212,285"
Still Breathing,1997,"212,267",0,"212,267"
East of Suez,1925,"212,213",0,"212,213"
Thaandavam,2012,"212,145",0,"212,145"
Tai Chi 0,2012,"212,094",0,"212,094"
La passion Béatrice,1987,"211,821",0,"211,821"
Love Liza,2002,"211,724",0,"211,724"
Tongues of Flame,1924,"211,696",0,"211,696"
Chinjeolhan geumjassi,2005,"211,667",0,"211,667"
Different for Girls,1996,"211,048",0,"211,048"
The House I Live In,2012,"210,752",0,"210,752"
Seven Chances,1925,"210,748",0,"210,748"
La soga,2009,"210,625",0,"210,625"
Torn Apart,1990,"210,444",0,"210,444"
Straight to Hell,1987,"210,200",0,"210,200"
My Uncle Rafael,2012,"210,156",0,"210,156"
Starter for 10,2006,"210,128",0,"210,128"
Nico Icon,1995,"209,951",0,"209,951"
Mondovino,2004,"209,618",0,"209,618"
Ayn Rand: A Sense of Life,1997,"209,244",0,"209,244"
Levity,2003,"209,151",0,"209,151"
California Typewriter,2016,"208,962",0,"208,962"
Truman,2015,"208,799",0,"208,799"
The Page Turner,2007,"208,691",0,"208,691"
Sticky Fingers,1988,"208,633",0,"208,633"
Ho Mann Jahaan,2015,"208,611",0,"208,611"
Believe in Me,2006,"208,565",0,"208,565"
Moskovskiy zhigolo,2008,0,"208,418","208,418"
Thy Name Is Woman,1924,"208,196",0,"208,196"
Boys Life 3,2000,"208,076",0,"208,076"
The Marriage Circle,1924,"208,020",0,"208,020"
Phantom,2015/I,"207,921",0,"207,921"
Meseautó,2000,0,"207,794","207,794"
Bliss,1997,"207,751",0,"207,751"
La fille du RER,2009,"207,323",0,"207,323"
Sally,1925,"207,300",0,"207,300"
The Prison,2017,"207,167",0,"207,167"
Lilies of the Field,1924,"207,087",0,"207,087"
How U Like Me Now,1992,"207,021",0,"207,021"
Matador,1986,"206,952",0,"206,952"
Rob the Mob,2014,"206,909",0,"206,909"
Tamara,2005,"206,871",0,"206,871"
Soul Power,2008,"206,813",0,"206,813"
Chaos,2001,"206,789",0,"206,789"
Revelation,1999,"206,755",0,"206,755"
Sweetgrass,2009,"206,728",0,"206,728"
Cheung gong 7 hou,2008,"206,678",0,"206,678"
La tourneuse de pages,2006,"206,647",0,"206,647"
Betty Fisher et autres histoires,2001,"206,400",0,"206,400"
Back Home and Broke,1922,"206,356",0,"206,356"
