name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Strangers of the Night,1923,"206,200",0,"206,200"
Rikky and Pete,1988,"206,138",0,"206,138"
Onegin,1999,"206,128",0,"206,128"
The Good Woman of Bangkok,1991,"205,959",0,"205,959"
Cutie and the Boxer,2013,"200,036","5,660","205,696"
C'est arrivé près de chez vous,1992,"205,569",0,"205,569"
Lady of the Night,1925,"205,550",0,"205,550"
Cleopatra's Second Husband,1998,"205,547",0,"205,547"
The Trouble with Spies,1987,"205,507",0,"205,507"
Alles is liefde,2007,0,"205,305","205,305"
The Heart Is Deceitful Above All Things,2004,"29,058","176,153","205,211"
Captain Blood,1924,"205,141",0,"205,141"
The Silent Twins,2022,"205,135",0,"205,135"
Frankenhooker,1990,"205,068",0,"205,068"
The Princess Academy,1987,"205,000",0,"205,000"
Prince Avalanche,2013,"204,951",0,"204,951"
Hard Cash,2002,0,"204,913","204,913"
The Alaskan,1924,"204,889",0,"204,889"
Malamaal Weekly,2006,"204,612",0,"204,612"
Ailey,2021,"204,512",0,"204,512"
Down and Derby,2005,"204,481",0,"204,481"
Iraq in Fragments,2006,"204,462",0,"204,462"
Chaos,2002/I,"204,274",0,"204,274"
EDC 2013: Under the Electric Sky,2014,"204,150",0,"204,150"
Touchback,2011,"204,068",0,"204,068"
Helvetica,2007,"204,000",0,"204,000"
Nashan naren nagou,1999,"203,975",0,"203,975"
The Tic Code,1999,"203,849",0,"203,849"
De aanslag,1986,"203,781",0,"203,781"
10 Years,2011,"203,654",0,"203,654"
Darwin's Nightmare,2004,"203,646",0,"203,646"
Reckless Kelly,1993,"203,602",0,"203,602"
Ground Zero,1987,"203,144",0,"203,144"
I Married a Strange Person!,1997,"203,134",0,"203,134"
Ghanchakkar,2013,"203,044",0,"203,044"
ABCD (Any Body Can Dance),2013,"202,865",0,"202,865"
The Golden Bed,1925,"202,790",0,"202,790"
Vettai,2012,"202,581",0,"202,581"
"Filth to Ashes, Flesh to Dust",2011,"202,531",0,"202,531"
The Untold Story of Emmett Louis Till,2005,"202,481",0,"202,481"
Una pura formalità,1994,"202,458",0,"202,458"
The Girl in the Picture,1985,"202,428",0,"202,428"
A Society Scandal,1924,"202,311",0,"202,311"
Angel-A,2005,"202,200",0,"202,200"
Indian Summer,1996,"202,167",0,"202,167"
Jimmy Vestvood: Amerikan Hero,2016,"201,638",0,"201,638"
A Man Named Pearl,2006,"201,603",0,"201,603"
The Wife of the Centaur,1924,"201,600",0,"201,600"
Lightning in a Bottle,2004,"201,574",0,"201,574"
The Rachel Papers,1989,"201,468",0,"201,468"
Conte de printemps,1990,"201,332",0,"201,332"
Mono con gallinas,2013,0,"201,250","201,250"
Blame It on the Night,1984,"201,096",0,"201,096"
S.O.S.,1999,0,"201,003","201,003"
Western,1997,"200,840",0,"200,840"
Tim and Eric's Billion Dollar Movie,2012,"200,803",0,"200,803"
Eat the Rich,1987,"200,723",0,"200,723"
Cama adentro,2004,"200,433",0,"200,433"
The Burning Plain,2008,"200,399",0,"200,399"
Kkun,2017,"200,365",0,"200,365"
The Double,2013,"200,268",0,"200,268"
Risk,2016/I,"200,219",0,"200,219"
The Château,2001,"200,122",0,"200,122"
Masculin féminin,1966,"200,087",0,"200,087"
Any Day Now,2012/I,"200,002",0,"200,002"
Mindanao the Land of Promise,2011,"200,000",0,"200,000"
Cross Creek,1983,"200,000",0,"200,000"
Down by the River,2012,"200,000",0,"200,000"
No Place on Earth,2012,"199,659",0,"199,659"
Pariah,1998,"199,536",0,"199,536"
Paa,2009,"199,228",0,"199,228"
The New Kids,1985,"199,108",0,"199,108"
Five Days One Summer,1982,"199,078",0,"199,078"
Pied Piper Malone,1924,"199,035",0,"199,035"
The Yes Men,2003,"198,975",0,"198,975"
Le charme discret de la bourgeoisie,1972,"198,809",0,"198,809"
Rescue Me,1992,"198,504",0,"198,504"
White Girl,2016,"198,493",0,"198,493"
Bad Luck Love,2000,0,"198,476","198,476"
Kikujirô no natsu,1999,"198,238",0,"198,238"
Madame Satã,2002,"198,181",0,"198,181"
Enemy Territory,1987,"197,791",0,"197,791"
Tideland,2005,"66,453","131,206","197,659"
His Hour,1924,"197,571",0,"197,571"
Mortal Passions,1989,"197,343",0,"197,343"
Getting Away with Murder,1996,"197,322",0,"197,322"
The Fallen Idol,1948,"197,294",0,"197,294"
Prodigal Daughters,1923,"197,289",0,"197,289"
Code 46,2003,"197,148",0,"197,148"
Autumn Lights,2016,"197,000",0,"197,000"
What Would Jesus Buy?,2007,"196,990",0,"196,990"
Conte d'été,1996,"196,927",0,"196,927"
Killing Me Softly,2002,0,"196,621","196,621"
Spark: A Space Tail,2016,"196,458",0,"196,458"
Die Siebtelbauern,1998,"196,452",0,"196,452"
My Life's in Turnaround,1993,"196,383",0,"196,383"
Zaza,1923,"196,273",0,"196,273"
Main Aurr Mrs Khanna,2009,"196,203",0,"196,203"
Samy y yo,2002,0,"196,139","196,139"
The Home Teachers,2004,"196,123",0,"196,123"
The Heart of Me,2002,"196,067",0,"196,067"
Sorstalanság,2005,"195,888",0,"195,888"
Escobar: Paradise Lost,2014,"195,792",0,"195,792"
Maniac Cop 2,1990,0,"195,788","195,788"
Heneral Luna,2015,"195,580",0,"195,580"
Coming Through,1925,"195,561",0,"195,561"
The Trouble with Money,2006,"195,385",0,"195,385"
Modigliani,2004,"195,378",0,"195,378"
The Errand of Angels,2008,"195,184",0,"195,184"
Infinity,1996,"195,170",0,"195,170"
Where the Pavement Ends,1923,"194,950",0,"194,950"
Amore libero - Free Love,1974,0,"194,931","194,931"
Herb & Dorothy,2008,"194,721",0,"194,721"
Raju Chacha,2000,"194,698",0,"194,698"
I Want Someone to Eat Cheese With,2006,"194,568",0,"194,568"
La vie est un long fleuve tranquille,1988,"194,456",0,"194,456"
Irene in Time,2009,"194,316",0,"194,316"
Hell Ride,2008,"194,287",0,"194,287"
L'enfer,1994,"194,223",0,"194,223"
Men,1924,"194,173",0,"194,173"
Tadap,2021,"130,934","62,775","193,709"
Around the Bend,2004,"193,571",0,"193,571"
Learning to Love,1925,"193,400",0,"193,400"
Mondo New York,1988,"193,209",0,"193,209"
Wired to Kill,1986,"193,153",0,"193,153"
Somewhere Between,2011,"193,082",0,"193,082"
Ni na bian ji dian,2001,"193,047",0,"193,047"
Emporte-moi,1999,"192,996",0,"192,996"
The Return of Swamp Thing,1989,"192,816",0,"192,816"
Beverly Hills Brats,1989,"192,561",0,"192,561"
The Puffy Chair,2005,"192,467",0,"192,467"
Merchants of Doubt,2014,"192,400",0,"192,400"
November,2004/I,"192,186",0,"192,186"
Intoxicating,2003,"192,000",0,"192,000"
Within the Law,1923,"192,000",0,"192,000"
The Resort,2021,"191,996",0,"191,996"
Legendary,2010,"191,875",0,"191,875"
Gemma Bovery,2014,"191,512",0,"191,512"
1945,2017,"191,484",0,"191,484"
Tou ze,2011,"191,456",0,"191,456"
Fashion,2008,"191,442",0,"191,442"
Irma Vep,1996,"191,164",0,"191,164"
The Indian Runner,1991,"191,125",0,"191,125"
For Queen & Country,1988,"191,051",0,"191,051"
Crystal Fairy & the Magical Cactus and 2012,2013,"190,704",0,"190,704"
San qiang pai an jing qi,2009,"190,666",0,"190,666"
I'm Your Man,2021,"40,190","150,353","190,543"
Peng ran xing dong,2015,"190,507",0,"190,507"
Code Black,2013,"190,229",0,"190,229"
The Lady,1925,"190,048",0,"190,048"
Jabberwocky,1977,0,"190,000","190,000"
Chambaili,2013,0,"190,000","190,000"
El abrazo partido,2004,"189,763",0,"189,763"
Open Water 2: Adrift,2006,0,"189,698","189,698"
The Ride,1997/I,"189,635",0,"189,635"
Nina Takes a Lover,1994,"189,509",0,"189,509"
The Yes Men Fix the World,2009,"189,506",0,"189,506"
La Danza de la Realidad,2013,"189,500",0,"189,500"
Year of the Horse,1997,"189,491",0,"189,491"
Shrink,2009,"189,332",0,"189,332"
Otello,1986,"189,042",0,"189,042"
Miles from Home,1988,"188,964",0,"188,964"
Taking Sides,2001,"188,952",0,"188,952"
Snabba cash,2010,"188,870",0,"188,870"
Fast Food Fast Women,2000,"188,686",0,"188,686"
The Thundering Herd,1925,"188,383",0,"188,383"
Eros,2004,"188,248",0,"188,248"
Theremin: An Electronic Odyssey,1993,"187,923",0,"187,923"
Hell High,1989,"187,920",0,"187,920"
Hellbent,2004,"187,786",0,"187,786"
Client 9: The Rise and Fall of Eliot Spitzer,2010,"187,540",0,"187,540"
Chun gwong cha sit,1997,"187,508",0,"187,508"
Jump Tomorrow,2001,"187,474",0,"187,474"
Rocket Gibraltar,1988,"187,349",0,"187,349"
Maggie,2015/I,"187,112",0,"187,112"
On a Clear Day,2005,"186,912",0,"186,912"
Shi gu,2015,"186,908",0,"186,908"
Elsa y Fred,2005,"186,875",0,"186,875"
The Return of the Texas Chainsaw Massacre,1994,"186,712",0,"186,712"
Boys Life 2,1997,"186,675",0,"186,675"
Somos gente honrada,2013,0,"186,618","186,618"
Vitus,2006,"186,492",0,"186,492"
Owaranai hito: Miyazaki Hayao,2018,"186,489",0,"186,489"
The Visit,2000/I,"186,444",0,"186,444"
The Connection,2014,"186,403",0,"186,403"
Stonewall,2015,"186,354",0,"186,354"
El Clan,2015,"186,255",0,"186,255"
The Big Tease,1999,"185,577",0,"185,577"
Detective K: Secret of the Lost Island,2015,"185,367",0,"185,367"
The Wolf of Snow Hollow,2020,"185,026",0,"185,026"
He Who Gets Slapped,1924,"185,000",0,"185,000"
The Ballad of the Sad Cafe,1991,"184,890",0,"184,890"
Jane and Emma,2018,"184,795",0,"184,795"
The Golden Boys,2008,"184,149",0,"184,149"
Good morning Babilonia,1987,"183,700",0,"183,700"
Loong Boonmee raleuk chat,2010,"183,605",0,"183,605"
Amigo,2010,"183,490",0,"183,490"
The Glimpses of the Moon,1923,"183,383",0,"183,383"
Come Away,2020,"183,347",0,"183,347"
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011,"183,342",0,"183,342"
Une hirondelle a fait le printemps,2001,"183,266",0,"183,266"
Calle 54,2000,"183,140",0,"183,140"
The Lucky Ones,2008,"183,088",0,"183,088"
Let's Try Again,1934,"183,000",0,"183,000"
Opal Dream,2006,"13,751","169,227","182,978"
Bande à part,1964,"182,857",0,"182,857"
Lambert & Stamp,2014,"182,851",0,"182,851"
Whose Streets?,2017,"182,799",0,"182,799"
The Dixie Handicap,1924,"182,100",0,"182,100"
The Baxter,2005,"181,872",0,"181,872"
La fleur du mal,2003,"181,798",0,"181,798"
Lilja 4-ever,2002,"181,655",0,"181,655"
No Good Deed,2002,"181,600",0,"181,600"
Twelve,2010,"181,591",0,"181,591"
In the Shadow of Kilimanjaro,1986,"181,410",0,"181,410"
The Dressmaker from Paris,1925,"181,353",0,"181,353"
Dhokha,2007,0,"181,167","181,167"
The Bad Batch,2016,"180,851",0,"180,851"
Marjorie Prime,2017,"180,608",0,"180,608"
Hatching,2022,"180,413",0,"180,413"
The Man Who Found Himself,1925,"180,300",0,"180,300"
Vi är bäst!,2013,"180,222",0,"180,222"
Gemini,2017,"180,002",0,"180,002"
The Storm,1922,"180,000",0,"180,000"
Offside,2006/I,"179,948",0,"179,948"
Chop Suey,2001,"179,914",0,"179,914"
The Bridge,2006/I,"179,780",0,"179,780"
Cherish,2002,"179,751",0,"179,751"
A Slave of Fashion,1925,"179,700",0,"179,700"
Constantine's Sword,2007,"179,507",0,"179,507"
Smiley Face,2007,"9,397","169,984","179,381"
Une femme ou deux,1985,"179,112",0,"179,112"
Go for It!,2011,"178,739",0,"178,739"
Grev Axel,2001,0,"178,625","178,625"
Daisy Winters,2017,"178,230",0,"178,230"
Chickie,1925,"178,200",0,"178,200"
Winnebago Man,2009,"178,174",0,"178,174"
Canadian Bacon,1995,"178,104",0,"178,104"
Protocols of Zion,2005,"177,861",0,"177,861"
Sugar Town,1999,"177,840",0,"177,840"
Seven Hours to Judgment,1988,"177,820",0,"177,820"
Hagane no renkinjutsushi: Mirosu no seinaru hoshi,2011,"177,802",0,"177,802"
Monumental: In Search of America's National Treasure,2012,"177,729",0,"177,729"
Bush's Brain,2004,"177,525",0,"177,525"
35 rhums,2008,"177,511",0,"177,511"
Tere Naal Love Ho Gaya,2012,"177,472",0,"177,472"
Cheaper to Marry,1925,"177,403",0,"177,403"
One Child Nation,2019,"177,378",0,"177,378"
Viva,2015,"177,062",0,"177,062"
India’s Most Wanted,2019,"176,858",0,"176,858"
Dus Kahaniyaan,2007,"176,726",0,"176,726"
Bølgen,2015,"176,637",0,"176,637"
Chicago 10,2007,"176,545",0,"176,545"
Sherlock Holmes,1922,"176,500",0,"176,500"
The Hunter,2011/IV,"176,432",0,"176,432"
Serena,2014/I,"176,305",0,"176,305"
Holly,2006,"176,300",0,"176,300"
The Goose Hangs High,1925,"176,084",0,"176,084"
Take Every Wave: The Life of Laird Hamilton,2017,"176,076",0,"176,076"
Touch the Sound: A Sound Journey with Evelyn Glennie,2004,"176,051",0,"176,051"
Zanan-e bedun-e mardan,2009,"175,995",0,"175,995"
Bacalaureat,2016,"175,975",0,"175,975"
The Afflicted,2011,"175,742",0,"175,742"
Casino Jack and the United States of Money,2010,"175,604",0,"175,604"
Die fetten Jahre sind vorbei,2004,"175,493",0,"175,493"
P.S.,2004,"175,408",0,"175,408"
The Ne'er-Do-Well,1923,"175,400",0,"175,400"
Breakfast of Champions,1999,"175,370",0,"175,370"
Romper Stomper,1992,"175,340",0,"175,340"
Hatchet,2006,"175,281",0,"175,281"
Populaire,2012,"175,256",0,"175,256"
An Unreasonable Man,2006,"175,237",0,"175,237"
Champion,2017/I,"175,232",0,"175,232"
Pete Seeger: The Power of Song,2007,"175,099",0,"175,099"
Manito,2002,"175,000",0,"175,000"
Evangerion shin gekijôban: Kyu,2012,"174,945",0,"174,945"
Yoake tsugeru Rû no uta,2017,"109,546","65,343","174,889"
E.S.O. Entitat sobrenatural oculta,2009,0,"174,851","174,851"
Partir,2009/I,"174,694",0,"174,694"
The Business of Fancydancing,2002,"174,682",0,"174,682"
Asura,2016,"174,501",0,"174,501"
Afternoon Delight,2013,"174,496",0,"174,496"
Champions,1984,"174,445",0,"174,445"
The Swan,1925,"174,429",0,"174,429"
My Best Friend Is a Vampire,1987,"174,380",0,"174,380"
Stateside,2004,"174,318",0,"174,318"
The Warrior Queen of Jhansi,2019,"174,102",0,"174,102"
Mr. Gaga,2015,"173,994",0,"173,994"
Yellow Day,2015,"173,819",0,"173,819"
Fuel,2008/I,"173,783",0,"173,783"
Anita,2012/II,"173,634",0,"173,634"
Sedam i po,2006,0,"173,583","173,583"
Dung che sai duk,1994,"173,526",0,"173,526"
Cinco de Mayo: La batalla,2013,"173,472",0,"173,472"
Matusalem II: le dernier des Beauchesne,1997,"173,462",0,"173,462"
Baptists at Our Barbecue,2004,"173,106",0,"173,106"
My Name Is Bruce,2007,"173,066",0,"173,066"
Karma: Crime. Passion. Reincarnation,2008,0,"173,000","173,000"
Hipnos,2004,0,"172,583","172,583"
Chuyen tình xa xu,2009,"172,453",0,"172,453"
A.C.O.D.,2013,"172,344",0,"172,344"
Mo jing,2014,"172,343",0,"172,343"
In Search of a Midnight Kiss,2007,"172,177",0,"172,177"
Afternoon of a Faun: Tanaquil Le Clercq,2013,"172,120",0,"172,120"
Pola X,1999,"172,107",0,"172,107"
Mercy Streets,2000,"171,988",0,"171,988"
Rough Magic,1995,"171,979",0,"171,979"
Mita Tova,2014,"171,963",0,"171,963"
Once Upon a Time in the Midlands,2002,"171,830",0,"171,830"
Action Jackson,2014/I,"171,795",0,"171,795"
Copperhead,2013,"171,740",0,"171,740"
Series 7: The Contenders,2001,"171,478",0,"171,478"
Jenseits der Stille,1996,"171,334",0,"171,334"
Polisse,2011,"171,320",0,"171,320"
Hollywood Dreams,2006,"171,255",0,"171,255"
Mary Shelley,2017,"83,092","88,037","171,129"
Purgatorio,2012,"171,060",0,"171,060"
An Invited Guest,1999,"170,832",0,"170,832"
Revenge,2017/II,"100,091","70,709","170,800"
Veronika Decides to Die,2009,0,"170,702","170,702"
London Kills Me,1991,"170,667",0,"170,667"
Somm,2012,"170,561",0,"170,561"
Crude,2009,"170,295",0,"170,295"
Aparajito,1956,"170,215",0,"170,215"
Une femme française,1995,"170,149",0,"170,149"
Le vent du Wyoming,1994,"169,880",0,"169,880"
Pass the Ammo,1988,"169,785",0,"169,785"
Escape from Tomorrow,2013,"169,719",0,"169,719"
David Lynch: The Art Life,2016,"169,517",0,"169,517"
Taksi-Blyuz,1990,"169,410",0,"169,410"
Vicky Donor,2012,"169,209",0,"169,209"
Gekijôban Fairy Tail: Dragon Cry,2017,"169,203",0,"169,203"
The Experts,1989,"169,203",0,"169,203"
Sleepwalking,2008,"168,972",0,"168,972"
Fucking Åmål,1998,"168,761",0,"168,761"
Buñuel en el laberinto de las tortugas,2018,"36,205","132,534","168,739"
Valley of Bones,2017,"168,738",0,"168,738"
Denise Calls Up,1995,"168,614",0,"168,614"
"Niagara, Niagara",1997,"168,462",0,"168,462"
Hangman's Curse,2003,"168,406",0,"168,406"
Cher Ami... ¡y yo!,2008,0,"168,304","168,304"
Witchboard 2: The Devil's Doorway,1993,"168,180",0,"168,180"
Frygtelig lykkelig,2008,"167,978",0,"167,978"
No Escape,2020,"167,962",0,"167,962"
"Jheronimus Bosch, Touched by the Devil",2015,"167,601",0,"167,601"
To Have and to Hold,1922,"167,414",0,"167,414"
Youssou Ndour: I Bring What I Love,2008,"167,398",0,"167,398"
Zinda,2006,"167,246",0,"167,246"
Bellflower,2011,"167,242",0,"167,242"
The Disappearance of Alice Creed,2009,"166,980",0,"166,980"
All Things Must Pass: The Rise and Fall of Tower Records,2015,"166,872",0,"166,872"
Complete Unknown,2016,"166,827",0,"166,827"
Genius Within: The Inner Life of Glenn Gould,2009,"166,770",0,"166,770"
Night Visitor,1989,"166,635",0,"166,635"
South of the Border,2009,"166,611",0,"166,611"
La faute à Fidel!,2006,"166,485",0,"166,485"
The Fits,2015,"166,425",0,"166,425"
Our Brand Is Crisis,2005,"166,320",0,"166,320"
On_Line,2002,"165,974",0,"165,974"
Mister Lonely,2007,"165,831",0,"165,831"
De Mai tính,2010,"165,532",0,"165,532"
Zhong Kui fu mo: Xue yao mo ling,2015,"165,428",0,"165,428"
Panique au village,2009,"165,349",0,"165,349"
"Polina, danser sa vie",2016,"165,203",0,"165,203"
Holla,2006,"165,171",0,"165,171"
Vaxxed: From Cover-Up to Catastrophe,2016,"164,982",0,"164,982"
Last Plane Out,1983,"164,964",0,"164,964"
"The Favour, the Watch and the Very Big Fish",1991,"164,767",0,"164,767"
"Moi Ivan, toi Abraham",1993,"164,628",0,"164,628"
Red Betsy,2003,"164,520",0,"164,520"
Horns,2013,"164,480",0,"164,480"
Chance Pe Dance,2010,"164,188",0,"164,188"
Le lieu du crime,1986,"164,187",0,"164,187"
The Hi-Lo Country,1998,"163,810",0,"163,810"
Bonhoeffer,2003,"163,720",0,"163,720"
The Last Godfather,2010,"163,591",0,"163,591"
Country of My Skull,2004,"163,536",0,"163,536"
Aruitemo aruitemo,2008,"163,512",0,"163,512"
De Palma,2015,"163,359",0,"163,359"
Grizzly Falls,1999,"163,339",0,"163,339"
Down,2001,0,"163,309","163,309"
Louder Than Bombs,2015,"163,238",0,"163,238"
Restless,2011/I,"163,141",0,"163,141"
The Twelve Chairs,1970,0,"162,804","162,804"
Dancehall Queen,1997,"162,723",0,"162,723"
Masti,2004,"162,687",0,"162,687"
Keep on Keepin' On,2014,"162,530",0,"162,530"
The Bay Boy,1984,"162,364",0,"162,364"
Time Out of Mind,2014,"162,270",0,"162,270"
Clean,2004/I,"162,098",0,"162,098"
Ssesibong,2015,"162,082",0,"162,082"
Ziggy Stardust and the Spiders from Mars,1973,"161,634",0,"161,634"
Outsourced,2006,"161,593",0,"161,593"
Elser,2015,"161,531",0,"161,531"
Swimming,2000,"161,483",0,"161,483"
Mughal-E-Azam,1960,"161,434",0,"161,434"
Sleep with Me,1994,"161,410",0,"161,410"
The Blue Iguana,1988,"161,398",0,"161,398"
Awesome; I Fuckin' Shot That!,2006,"161,351",0,"161,351"
Bye Bye Blues,1989,"161,323",0,"161,323"
On the Job,2013,"161,217",0,"161,217"
The Long Day Closes,1992,"161,179",0,"161,179"
The Beast of War,1988,"161,004",0,"161,004"
Für mich gab's nur noch Fassbinder,2000,"160,854",0,"160,854"
Fassbinder in Hollywood,2002,"160,854",0,"160,854"
Soy Cuba,1964,"160,697",0,"160,697"
Outlander,2008,"160,641",0,"160,641"
Gigantic (A Tale of Two Johns),2002,"160,621",0,"160,621"
Shackleton's Antarctic Adventure,2001,"160,464",0,"160,464"
2:22,2017,0,"160,415","160,415"
Goethe!,2010,"160,392",0,"160,392"
Avenging Angelo,2002,0,"160,375","160,375"
After the Ball,2015,"160,165",0,"160,165"
Nanking,2007,"160,140",0,"160,140"
Ekkusu,1996,"160,113",0,"160,113"
Taffin,1988,"159,969",0,"159,969"
When Will I Be Loved,2004,"159,429",0,"159,429"
Hybrid,2000,"159,403",0,"159,403"
Danny Deckchair,2003,"159,279",0,"159,279"
Girls Rock!,2007,"159,271",0,"159,271"
Sunset Song,2015,"159,257",0,"159,257"
A Love Song for Bobby Long,2004,"159,171",0,"159,171"
Them That Follow,2019,"158,973",0,"158,973"
We Steal Secrets: The Story of WikiLeaks,2013,"158,932",0,"158,932"
Shiqi sui de dan che,2001,"158,779",0,"158,779"
L'homme qui voulait vivre sa vie,2010,"158,411",0,"158,411"
Geomeun sajedeul,2015,"158,334",0,"158,334"
Bright Angel,1990,"158,243",0,"158,243"
Queen of the Lot,2010,"158,233",0,"158,233"
Thelma,2017,"147,112","10,841","157,953"
Roadside Prophets,1992,"147,724","9,921","157,645"
Jig,2011/I,"157,504",0,"157,504"
Vajra Sky Over Tibet,2006,"45,136","112,317","157,453"
Elles,2011,"157,427",0,"157,427"
Il capitale umano,2013,"157,336",0,"157,336"
Ha-Buah,2006,"157,121",0,"157,121"
Free the Mind,2012,"157,007",0,"157,007"
Vendredi soir,2002,"156,918",0,"156,918"
Pastorela,2011,"156,784",0,"156,784"
My Winnipeg,2007,"156,629",0,"156,629"
Her Gilded Cage,1922,"156,456",0,"156,456"
Derrida,2002,"156,450",0,"156,450"
InAPPropriate Comedy,2013,"156,414",0,"156,414"
Tulpan,2008,"156,331",0,"156,331"
Diva,1981,"156,294",0,"156,294"
Distant Thunder,1988,"156,188",0,"156,188"
Hell and Back,2015,"156,166",0,"156,166"
Far from the Tree,2017,"156,119",0,"156,119"
Deadtime,2012,"156,072",0,"156,072"
Washington Heights,2002,"156,021",0,"156,021"
The Horse Boy,2009,"155,984",0,"155,984"
The Bachelor Daddy,1922,"155,850",0,"155,850"
Dans l'oeil du chat,2004,"155,714",0,"155,714"
Crazy Horse,2011,"155,677",0,"155,677"
Naqoyqatsi,2002,"133,058","22,582","155,640"
Desert Dancer,2014,"155,271",0,"155,271"
Eating Out,2004/I,"155,212",0,"155,212"
One Day in September,1999,"155,158",0,"155,158"
Experimenter,2015,"155,075",0,"155,075"
Party Line,1988,"154,887",0,"154,887"
Train de vie,1998,"154,790",0,"154,790"
Cross Country,1983,"154,770",0,"154,770"
LUV,2012,"154,747",0,"154,747"
A Good Old Fashioned Orgy,2011,"154,604",0,"154,604"
3 coeurs,2014,"154,528",0,"154,528"
Slayground,1983,"154,469",0,"154,469"
"Silent Night, Deadly Night 2",1987,"154,323",0,"154,323"
84C MoPic,1989,"154,264",0,"154,264"
Hunger,2008,"154,084",0,"154,084"
Lonesome Jim,2005,"154,077",0,"154,077"
Magic Trip: Ken Kesey's Search for a Kool Place,2011,"153,943",0,"153,943"
Pépé le Moko,1937,"153,936",0,"153,936"
Citizen Koch,2013,"153,908",0,"153,908"
