name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Brenda Starr,1989,"67,878",0,"67,878"
Hollywood Buddha,2003,"67,862",0,"67,862"
Ennu Ninte Moideen,2015,"67,836",0,"67,836"
Maidentrip,2013,"67,705",0,"67,705"
Happy Valley,2008,"67,665",0,"67,665"
Alive and Kicking,2016,"67,591",0,"67,591"
The Thought Exchange,2012,"67,500",0,"67,500"
Mrs. Palfrey at the Claremont,2005,"67,334",0,"67,334"
Mai wei,2011,"67,330",0,"67,330"
Babí léto,2001,"67,296",0,"67,296"
John Rabe,2009,"67,255",0,"67,255"
Stuck,2007,"67,152",0,"67,152"
For No Good Reason,2012,"67,105",0,"67,105"
Tamjung Hong Gil-dong: Sarajin Ma-eul,2016,"67,015",0,"67,015"
Take Out,2004,"66,892",0,"66,892"
The Dream Girl,1916,"66,725",0,"66,725"
Disgrace,2008,"66,643",0,"66,643"
Pandora's Promise,2013,"66,643",0,"66,643"
Lagerfeld Confidential,2007,"66,510",0,"66,510"
From Within,2008,"66,456",0,"66,456"
After Tiller,2013,"66,300",0,"66,300"
The Pervert's Guide to Ideology,2012,"66,236",0,"66,236"
Just a Little Harmless Sex,1998,"66,194",0,"66,194"
Kindling,1915,"66,036",0,"66,036"
An Oversimplification of Her Beauty,2012,"65,975",0,"65,975"
Diggers,2006,"65,937",0,"65,937"
Deadfall,2012,"65,804",0,"65,804"
Absolute Wilson,2006,"65,768",0,"65,768"
Manula jugigi,1994,"65,757",0,"65,757"
Paragraph 175,2000,"65,719",0,"65,719"
Em La Ba Noi Cua Anh,2015,"65,718",0,"65,718"
Killer: A Journal of Murder,1995,"65,682",0,"65,682"
The Sun Behind the Clouds: Tibet's Struggle for Freedom,2010,"65,598",0,"65,598"
Le fils,2002,"65,571",0,"65,571"
The Nest,2020,"65,540",0,"65,540"
Restaurant,1998,"65,512",0,"65,512"
Stalin,2006,"65,500",0,"65,500"
San ren xing,2016,"65,500",0,"65,500"
"Dieu est grand, je suis toute petite",2001,"65,464",0,"65,464"
Lavina,2001,0,"65,427","65,427"
Architects of Denial,2017,"65,424",0,"65,424"
Elizabeth Blue,2017,"65,420",0,"65,420"
Redacted,2007,"65,388",0,"65,388"
Un été inoubliable,1994,"65,352",0,"65,352"
Darshan - L'étreinte,2005,"65,326",0,"65,326"
El violín,2005,"65,298",0,"65,298"
The Algerian,2014,"65,280",0,"65,280"
A nagy füzet,2013,"65,270",0,"65,270"
Allah Made Me Funny: Live in Concert,2008,"65,241",0,"65,241"
Spooky House,2002,"65,238",0,"65,238"
Una noche,2012,"65,233",0,"65,233"
Leon the Pig Farmer,1992,"65,222",0,"65,222"
Through a Lens Darkly: Black Photographers and the Emergence of a People,2014,"65,169",0,"65,169"
Do Not Resist,2016,"65,136",0,"65,136"
The Last Good Time,1994,"65,081",0,"65,081"
Dancing Across Borders,2010,"65,060",0,"65,060"
Shôjo,2001,"65,046",0,"65,046"
CSNY/Déjà Vu,2008,"64,991",0,"64,991"
Guelwaar,1992,"64,964",0,"64,964"
Un amour de jeunesse,2011,"64,925",0,"64,925"
Na pude aneb Kdo má dneska narozeniny?,2009,"64,918",0,"64,918"
Right at Your Door,2006,"64,802",0,"64,802"
Cavale,2002,"64,796",0,"64,796"
Seeing Other People,2004,"64,748",0,"64,748"
Bill Nye: Science Guy,2017,"64,735",0,"64,735"
L'inchiesta,2006,0,"64,704","64,704"
Nina's Heavenly Delights,2006,"64,650",0,"64,650"
The Joyriders,1999,"64,579",0,"64,579"
Timebomb,1991,"64,562",0,"64,562"
Crazy on the Outside,2010,"64,438",0,"64,438"
Ucitelka,2016,"64,437",0,"64,437"
Serbis,2008,"64,407",0,"64,407"
Among Giants,1998,"64,359",0,"64,359"
San siu lam zi,2011,"64,327",0,"64,327"
Cô dâu dai chien,2011,"64,302",0,"64,302"
Abril Despedaçado,2001,"64,210",0,"64,210"
Aberdeen,2000,"64,148",0,"64,148"
Making Waves: The Art of Cinematic Sound,2019,"53,144","10,864","64,008"
The Unafraid,1915,"63,944",0,"63,944"
Even Money,2006/I,"63,911",0,"63,911"
Dahek: A Burning Passion,1999,"63,886",0,"63,886"
Low Blow,1986,"63,860",0,"63,860"
Just a Kiss,2002,"63,797",0,"63,797"
Massa'ot James Be'eretz Hakodesh,2003,"63,768",0,"63,768"
Tosca,2001,"63,751",0,"63,751"
The Human Resources Manager,2010,"63,709",0,"63,709"
Shijie,2004,"63,662",0,"63,662"
I Am Divine,2013,"63,661",0,"63,661"
Ceux qui m'aiment prendront le train,1998,"63,651",0,"63,651"
S.F.W.,1994,"63,649",0,"63,649"
The Details,2011,"63,595",0,"63,595"
La vida es silbar,1998,"63,574",0,"63,574"
Mondscheintarif,2001,0,"63,459","63,459"
Big Sonia,2016,"63,386",0,"63,386"
Cow,2021/I,"15,122","48,226","63,348"
Seukaendeul - Joseon namnyeo sangyeoljisa,2003,"63,332",0,"63,332"
Renaissance,2006,"63,260",0,"63,260"
"Flamenco, Flamenco",2010,"63,238",0,"63,238"
El rey del Once,2016,"63,201",0,"63,201"
Racing Dreams,2009,"63,052",0,"63,052"
Heropanti,2014,"63,051",0,"63,051"
Dans Paris,2006,"63,049",0,"63,049"
Les amours imaginaires,2010,"62,985",0,"62,985"
Ha-Chaverim Shel Yana,1999,"62,949",0,"62,949"
Delta of Venus,1995,"62,949",0,"62,949"
Nue propriété,2006,"62,897",0,"62,897"
Hollow Reed,1996,"62,818",0,"62,818"
The Nines,2007,"62,745",0,"62,745"
Cool It,2010,"62,713",0,"62,713"
Yihe yuan,2006,"62,707",0,"62,707"
National Lampoon: Drunk Stoned Brilliant Dead,2015,"62,684",0,"62,684"
The Making of '...And God Spoke',1993,"62,598",0,"62,598"
The Providence Effect,2009,"62,500",0,"62,500"
Creative Control,2015,"62,480",0,"62,480"
Skills Like This,2007,"62,408",0,"62,408"
The Tiger Hunter,2016,"62,398",0,"62,398"
Mail Order Wife,2004,"62,387",0,"62,387"
Dom över död man,2012,"62,297",0,"62,297"
Bloodline,2008/I,"62,248",0,"62,248"
Maya Lin: A Strong Clear Vision,1994,"62,186",0,"62,186"
The Man from Home,1914,"62,091",0,"62,091"
Akai hashi no shita no nurui mizu,2001,"62,044",0,"62,044"
Trigun: Badlands Rumble,2010,"62,027",0,"62,027"
Hatchet II,2010,"62,000",0,"62,000"
Gojitmal,1999,"61,900",0,"61,900"
If a Tree Falls: A Story of the Earth Liberation Front,2011,"61,794",0,"61,794"
Donald Cried,2016,"61,783",0,"61,783"
Viva Riva!,2010,"61,759",0,"61,759"
Aprel,2002,0,"61,738","61,738"
Mifune: The Last Samurai,2015,"61,691",0,"61,691"
A Casa de Alice,2007,"61,678",0,"61,678"
Mad About Mambo,2000,"61,663",0,"61,663"
Public Speaking,2010,"61,640",0,"61,640"
Alamar,2009,"61,613",0,"61,613"
What's His Name,1914,"61,560",0,"61,560"
The Dark Horse,2014,"61,505",0,"61,505"
Backwards,2012,"61,465",0,"61,465"
The Art of the Steal,2013,"61,446",0,"61,446"
Le temps du loup,2003,"61,439",0,"61,439"
Tragedy Girls,2017,"61,426",0,"61,426"
Poster Boy,2004,"61,408",0,"61,408"
L'enfant sauvage,1970,"61,373",0,"61,373"
Silent Tongue,1993,"61,274",0,"61,274"
Never Goin' Back,2018,"61,271",0,"61,271"
Klyuch ot spalni,2003,0,"61,232","61,232"
Hafið,2002,"61,122",0,"61,122"
Lansky,2021,"61,030",0,"61,030"
La montaña sagrada,1973,"61,001",0,"61,001"
Bushi no ichibun,2006,"60,910",0,"60,910"
The Wicker Man,1973,"60,891",0,"60,891"
It's Pat: The Movie,1994,"60,822",0,"60,822"
Ya lyublyu tebya,2004,"60,815",0,"60,815"
Word Wars,2004,"60,802",0,"60,802"
Juvenile Delinquents,2020,"34,292","26,400","60,692"
The Wild Goose Chase,1915,"60,631",0,"60,631"
Aurora Borealis,2005,"60,552",0,"60,552"
Me and the Kid,1993,"60,473",0,"60,473"
Too Late,2015/I,"60,438",0,"60,438"
La jalousie,2013,"60,426",0,"60,426"
Boogie Man: The Lee Atwater Story,2008,"60,332",0,"60,332"
Joe the King,1999,"60,279",0,"60,279"
Teoriya zapoya,2003,0,"60,278","60,278"
How I Live Now,2013,"60,213",0,"60,213"
Ichimei,2011,"60,201",0,"60,201"
Presenting Princess Shaw,2015,"60,197",0,"60,197"
Firehead,1991,"60,197",0,"60,197"
Nói albinói,2003,"60,135",0,"60,135"
Manolo: The Boy Who Made Shoes for Lizards,2017,"60,056",0,"60,056"
Na-moo-eobs-neun san,2008,"60,023",0,"60,023"
Girlhood,2003,"60,019",0,"60,019"
No Such Thing,2001,"60,006",0,"60,006"
Bowl of Dreams,2011,"60,000",0,"60,000"
Date with Death,1959,"60,000",0,"60,000"
Le polygraphe,1996,"60,000",0,"60,000"
Wu kui,1994,"59,945",0,"59,945"
Titanic Town,1998,"59,844",0,"59,844"
Siddharth,2013,"59,808",0,"59,808"
3,2010,"59,774",0,"59,774"
States of Grace,2005,"59,711",0,"59,711"
Chelsea Walls,2001,"59,675",0,"59,675"
Limelight,2011,"59,654",0,"59,654"
Alceste à bicyclette,2013,"59,624",0,"59,624"
Gray Matters,2006/I,"59,619",0,"59,619"
Los novios búlgaros,2003,"59,440",0,"59,440"
Feuchtgebiete,2013,"59,437",0,"59,437"
Siganitalja,2016,"59,425",0,"59,425"
Chihwaseon,2002,"59,413",0,"59,413"
My Brothers' Crossing,2020,"59,390",0,"59,390"
Cheap Thrills,2013/I,"59,379",0,"59,379"
"10,000 Saints",2015,"59,333",0,"59,333"
Frontera,2014,"59,306",0,"59,306"
Bang! The Bert Berns Story,2016,"59,299",0,"59,299"
Hallam Foe,2007,"59,255",0,"59,255"
The Big Man,1990,"59,227",0,"59,227"
Roman Polanski: Wanted and Desired,2008,"59,192",0,"59,192"
Phobia,1980,"59,167",0,"59,167"
Enas allos kosmos,2015,"59,137",0,"59,137"
Viper Club,2018,"59,130",0,"59,130"
Bill,2007,"59,108",0,"59,108"
