name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Hirune-hime: Shiranai watashi no monogatari,2017,"48,198","10,865","59,063"
Let the Fire Burn,2013,"59,033",0,"59,033"
Gregory Crewdson: Brief Encounters,2012,"58,978",0,"58,978"
No Man's Land,2020/IV,"58,969",0,"58,969"
Down and Out with the Dolls,2001,"58,936",0,"58,936"
Crime After Crime,2011,"58,840",0,"58,840"
What We Do Is Secret,2007,"58,776",0,"58,776"
How to Live Forever,2009,"58,764",0,"58,764"
Sagrada: El misteri de la creació,2012,"58,755",0,"58,755"
Spartak i Kalashnikov,2002,0,"58,732","58,732"
Vermont Is for Lovers,1992,"58,546",0,"58,546"
Sweet Dreams,2013/II,"58,344",0,"58,344"
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",2006,"58,304",0,"58,304"
Rock School,2005,"58,241",0,"58,241"
Lost Woods,2012,"58,240",0,"58,240"
The Young Unknowns,2000,"58,163",0,"58,163"
Faust,2011/III,"58,104",0,"58,104"
Prey for Rock & Roll,2003,"58,040",0,"58,040"
Il boom,1963,"57,962",0,"57,962"
Come True,2020,"57,874",0,"57,874"
Ermo,1994,"57,872",0,"57,872"
Take Me to the River,2014,"57,831",0,"57,831"
Vodka Lemon,2003,"57,781",0,"57,781"
Summering,2022,"57,770",0,"57,770"
William Kunstler: Disturbing the Universe,2009,"57,769",0,"57,769"
Dom durakov,2002,"57,722",0,"57,722"
I Smile Back,2015,"57,678",0,"57,678"
Ogni bolshoy derevni,2016,0,"57,666","57,666"
The Trials of Muhammad Ali,2013,"57,579",0,"57,579"
Harvest of Empire,2012,"57,566",0,"57,566"
Palo Pinto Gold,2009,"57,500",0,"57,500"
Microbe et Gasoil,2015,"57,491",0,"57,491"
Four Seasons Lodge,2008,"57,376",0,"57,376"
The End of Poverty?,2008,"57,324",0,"57,324"
Only the Strong Survive,2002,"57,322",0,"57,322"
In My Sleep,2010,"57,190",0,"57,190"
Kuch Khatti Kuch Meethi,2001,"57,188",0,"57,188"
Deal,2008/I,"57,180",0,"57,180"
The Saint of Fort Washington,1993,"57,115",0,"57,115"
Voices of Iraq,2004,"57,102",0,"57,102"
Gumby 1,1995,"57,100",0,"57,100"
Smoking/No Smoking,1993,"57,033",0,"57,033"
Do I Sound Gay?,2014,"57,000",0,"57,000"
God of Vampires,2010,"56,705",0,"56,705"
Harvard Man,2001,"56,653",0,"56,653"
Borgman,2013,"56,474",0,"56,474"
Finding Amanda,2008,"56,408",0,"56,408"
Beautiful Losers,2008,"56,386",0,"56,386"
Max Rose,2013,"56,365",0,"56,365"
Blue Moon,2000,"56,304",0,"56,304"
"Patrik 1,5",2008,"56,299",0,"56,299"
Toward the Within,1994,"56,272",0,"56,272"
To dentro kai i kounia,2013,0,"56,250","56,250"
The Substance of Fire,1996,"56,221",0,"56,221"
La vengeance d'une blonde,1994,"56,218",0,"56,218"
Divan,2003,"56,214",0,"56,214"
Hatuna MeNiyar,2015,"56,177",0,"56,177"
Kart Racer,2003,"56,146",0,"56,146"
Beyond the Black Rainbow,2010,"56,129",0,"56,129"
Promenons-nous dans les bois,2000,"56,119",0,"56,119"
El aura,2005,"56,103",0,"56,103"
The Captive,1915,"56,075",0,"56,075"
Life During Wartime,1997,"55,986",0,"55,986"
"God Said, 'Ha!'",1998,"55,970",0,"55,970"
Go for Sisters,2013,"55,963",0,"55,963"
Farmageddon,2011,"55,839",0,"55,839"
Looking for Eric,2009,"55,804",0,"55,804"
Cooties,2014,"55,749",0,"55,749"
Chapter 27,2007,"55,704",0,"55,704"
L'imbalsamatore,2002,"55,606",0,"55,606"
Terms and Conditions May Apply,2013,"55,594",0,"55,594"
Ôritsu uchûgun Oneamisu no tsubasa,1987,"55,572",0,"55,572"
Finding Joe,2011,"55,518",0,"55,518"
Le sourire,1994,"55,497",0,"55,497"
Loreak,2014,"55,479",0,"55,479"
That Man: Peter Berlin,2005,"55,398",0,"55,398"
The Invisible Circus,2001,"55,388",0,"55,388"
Beautiful Creatures,2000,"55,381",0,"55,381"
Grégoire Moulin contre l'humanité,2001,0,"55,328","55,328"
C.O.G.,2013,"55,301",0,"55,301"
Reality,2012/II,"55,261",0,"55,261"
Cet obscur objet du désir,1977,"55,261",0,"55,261"
Ikiru,1952,"55,240",0,"55,240"
Ming zhong zhu ding,2015/I,"55,239",0,"55,239"
Roadside Romeo,2008,"55,202",0,"55,202"
Korengal,2014,"55,200",0,"55,200"
The Lovers & the Despot,2016,"55,180",0,"55,180"
Into Eternity: A Film for the Future,2010,"55,167",0,"55,167"
The Diaries of Vaslav Nijinsky,2001,"55,068",0,"55,068"
Clown,2014,"55,007",0,"55,007"
How I Got Lost,2009,"55,000",0,"55,000"
The Mysterious Island,1929,"55,000",0,"55,000"
Operation Avalanche,2016,"55,000",0,"55,000"
The Nowhere Inn,2020,"53,803","1,156","54,959"
Children on Their Birthdays,2002,"54,912",0,"54,912"
Les enfants du siècle,1999,"54,912",0,"54,912"
Civic Duty,2006,"54,902",0,"54,902"
Hak se wui yi wo wai kwai,2006,"54,855",0,"54,855"
The Boys: The Sherman Brothers' Story,2009,"54,852",0,"54,852"
Woodshock,2017,"42,603","12,247","54,850"
Seul contre tous,1998,"54,735",0,"54,735"
In a Dream,2008,"54,640",0,"54,640"
Lucky Break,2001,"54,606",0,"54,606"
Sue,1997,"54,585",0,"54,585"
Feast,2005,"54,556",0,"54,556"
Twentynine Palms,2003,"54,523",0,"54,523"
Evidence of a Haunting,2010,"54,474",0,"54,474"
The Harimaya Bridge,2009,"54,473",0,"54,473"
Gokudô kyôfu dai-gekijô: Gozu,2003,"54,419",0,"54,419"
Return of the Living Dead III,1993,"54,207",0,"54,207"
Padre Nuestro,2007,"54,166",0,"54,166"
"Truth or Consequences, N.M.",1997,"54,154",0,"54,154"
Jungle,2000,"54,125",0,"54,125"
Ilo Ilo,2013,"54,071",0,"54,071"
L.A. Twister,2004,"54,020",0,"54,020"
A Beautiful Soul,2012,"54,008",0,"54,008"
Billabong Odyssey,2003,"54,000",0,"54,000"
Wi-heom-han gyan-gye,2012,"54,000",0,"54,000"
Somers Town,2008,"53,971",0,"53,971"
Les hommes libres,2011,"53,810",0,"53,810"
Mon roi,2015,"53,809",0,"53,809"
Bart Got a Room,2008,"53,760",0,"53,760"
Summerland,2020,"53,732",0,"53,732"
Not Forgotten,2009,"53,723",0,"53,723"
Leonie!,2011,"53,692",0,"53,692"
A torinói ló,2011,"53,690",0,"53,690"
Die geliebten Schwestern,2014,"53,686",0,"53,686"
Line of Duty,2013,"53,668",0,"53,668"
In a Valley of Violence,2016,"53,647",0,"53,647"
Half of a Yellow Sun,2013,"53,645",0,"53,645"
Dirty Girl,2010,"53,630",0,"53,630"
Kalamazoo?,2006,"53,609",0,"53,609"
10th & Wolf,2006,"53,481",0,"53,481"
Plagues and Pleasures on the Salton Sea,2004,"53,471",0,"53,471"
Once in the Life,2000,"53,454",0,"53,454"
The Other F Word,2011,"53,214",0,"53,214"
Boys Life 4: Four Play,2003,"53,169",0,"53,169"
An Inconsistent Truth,2012,"53,109",0,"53,109"
Rich Kids,1979,"53,064",0,"53,064"
Aloft,2014,"52,961",0,"52,961"
Finishing the Game: The Search for a New Bruce Lee,2007,"52,850",0,"52,850"
Neuf mois,1994,"52,849",0,"52,849"
The Nature of Existence,2010,"52,799",0,"52,799"
Dara iz Jasenovca,2020,"52,786",0,"52,786"
Quand on a 17 ans,2016,"52,713",0,"52,713"
Les yeux sans visage,1960,"52,709",0,"52,709"
Super Dark Times,2017,"33,109","19,590","52,699"
Dang kou feng yun,2017,"52,659",0,"52,659"
Memoria,2015/II,"52,656",0,"52,656"
O Convento,1995,"52,609",0,"52,609"
The Million Dollar Hotel,2000,"52,526",0,"52,526"
Cropsey,2009,"52,476",0,"52,476"
Harlan - Im Schatten von Jud Süß,2008,"52,450",0,"52,450"
L'attesa,2015,"52,407",0,"52,407"
Stellet Licht,2007,"52,293",0,"52,293"
The Call of the North,1914,"52,284",0,"52,284"
Shiza,2004,"52,266",0,"52,266"
Trucker,2008,"52,166",0,"52,166"
"Yo, la peor de todas",1990,"52,148",0,"52,148"
$9.99,2008,"52,107",0,"52,107"
Dare Not Walk Alone,2006,"52,052",0,"52,052"
Screamers,2006,"52,034",0,"52,034"
La ville est tranquille,2000,"51,987",0,"51,987"
Strength and Honour,2007,"51,933",0,"51,933"
Hyeong,2016,"51,888",0,"51,888"
Occupy Unmasked,2012,"51,787",0,"51,787"
Mei hao de yi wai,2017,"51,766",0,"51,766"
Rak ti Khon Kaen,2015,"51,765",0,"51,765"
Six Ways to Sunday,1997,"51,617",0,"51,617"
The Lottery,2010,"51,542",0,"51,542"
Women Art Revolution,2010,"51,530",0,"51,530"
To Be Takei,2014,"51,481",0,"51,481"
Luminous Motion,1998,"51,380",0,"51,380"
Direktøren for det hele,2006,"51,300",0,"51,300"
Meeting People Is Easy,1998,"51,282",0,"51,282"
The Jezebels,1975,"51,264",0,"51,264"
No Greater Love,2015/I,"29,639","21,520","51,159"
Hiding and Seeking: Faith and Tolerance After the Holocaust,2004,"51,091",0,"51,091"
The Unknowns,2016,"51,035",0,"51,035"
Venus and Serena,2012,"51,000",0,"51,000"
Bronenosets Potemkin,1925,"50,970",0,"50,970"
American Casino,2009,"50,876",0,"50,876"
Joahaejwo,2016,"50,839",0,"50,839"
Johns,1996,"50,789",0,"50,789"
Ophelia,2018/I,"50,722",0,"50,722"
Le vieil homme et l'enfant,1967,"50,710",0,"50,710"
Run,2004,"50,700",0,"50,700"
8½,1963,"50,690",0,"50,690"
Wasabi Tuna,2003,"50,660",0,"50,660"
Pharaoh's Army,1995,"50,652",0,"50,652"
Hateship Loveship,2013,"50,573",0,"50,573"
Lalli Johns,2001,0,"50,520","50,520"
Les amants criminels,1999,"50,470",0,"50,470"
Keep Quiet,2016/I,"50,451",0,"50,451"
Burma VJ: Reporter i et lukket land,2008,"50,436",0,"50,436"
Wake in Fright,1971,"50,394",0,"50,394"
La vieille qui marchait dans la mer,1991,"50,349",0,"50,349"
L'Opéra,2017,"50,328",0,"50,328"
Race You to the Bottom,2005,"50,314",0,"50,314"
L'ombre des femmes,2015,"50,291",0,"50,291"
The Retrieval,2013,"50,257",0,"50,257"
Leila,1997,"50,133",0,"50,133"
La petite Jérusalem,2005,"50,126",0,"50,126"
Hukkle,2002,"50,094",0,"50,094"
Royal Kill,2009,"50,090",0,"50,090"
Grace Is Gone,2007,"50,080",0,"50,080"
Broken Hill,2009,"50,076",0,"50,076"
El abuelo,1998,"50,037",0,"50,037"
The Discoverers,2012,"50,020",0,"50,020"
Le amiche,1955,"50,005",0,"50,005"
That Beautiful Somewhere,2006,"30,000","20,000","50,000"
Turbo Kid,2015,"50,000",0,"50,000"
Double Dare,2004,"50,000",0,"50,000"
Box Elder,2008,"50,000",0,"50,000"
Hamsun,1996,"50,000",0,"50,000"
Grzeli nateli dgeebi,2013,"50,000",0,"50,000"
Fei chang xing yun,2013,"50,000",0,"50,000"
At Middleton,2013,"49,953",0,"49,953"
On the Outs,2004,"49,940",0,"49,940"
Anatahan,1953,"49,899",0,"49,899"
Charlie Says,2018,"49,861",0,"49,861"
9 Songs,2004,"49,835",0,"49,835"
Martha et moi,1990,"49,800",0,"49,800"
Home of the Brave,2006,"49,753",0,"49,753"
The Last Man on the Moon,2014,"49,672",0,"49,672"
Curdled,1996,"49,620",0,"49,620"
A.P.E.X.,1994,"49,601",0,"49,601"
Le combat dans l'île,1962,"49,545",0,"49,545"
The Chumscrubber,2005,"49,526",0,"49,526"
Orphans,1998,"49,501",0,"49,501"
The Canyons,2013,"49,494",0,"49,494"
Regarde la mer,1997,"49,476",0,"49,476"
La corsa dell'innocente,1992,"49,472",0,"49,472"
Vatel,2000,"49,464",0,"49,464"
GasLand,2010,"30,846","18,582","49,428"
Fong juk,2006,"49,413",0,"49,413"
The Myth of the Male Orgasm,1993,"49,349",0,"49,349"
Boarding Gate,2007,"49,333",0,"49,333"
Kraftidioten,2014,"49,284",0,"49,284"
Fakers,2004,"49,193",0,"49,193"
Der Unhold,1996,"49,166",0,"49,166"
Babar: King of the Elephants,1999,"49,090",0,"49,090"
Fatima,2015/I,"49,086",0,"49,086"
Kairo,2001,"49,046",0,"49,046"
The Way I See it,2020,"49,030",0,"49,030"
La confusion des genres,2000,"49,029",0,"49,029"
Chocolate: Deep Dark Secrets,2005,"49,000",0,"49,000"
Alice Neel,2007,"48,969",0,"48,969"
Spring,2014/I,"48,949",0,"48,949"
Mini's First Time,2006,"48,913",0,"48,913"
The Internet's Own Boy: The Story of Aaron Swartz,2014,"48,911",0,"48,911"
Local Color,2006,"48,895",0,"48,895"
Life & Death,2001,"48,871",0,"48,871"
Maadadayo,1993,"48,856",0,"48,856"
O Ornitólogo,2016,"48,837",0,"48,837"
Where's the Party Yaar?,2003,"48,832",0,"48,832"
The Bag Man,2014/I,"48,817",0,"48,817"
Ghosts of Cité Soleil,2006,"48,752",0,"48,752"
Live Nude Girls Unite!,2000,"48,752",0,"48,752"
Better Late Than Never,1983,"48,731",0,"48,731"
American Mustang,2013,"48,700",0,"48,700"
The One I Wrote for You,2014,"48,643",0,"48,643"
How to Kill Your Neighbor's Dog,2000,"48,564",0,"48,564"
Polissons et galipettes,2002,"48,543",0,"48,543"
A Perfect Candidate,1996,"48,522",0,"48,522"
Person to Person,2017,"48,499",0,"48,499"
Ciao,2008,"48,498",0,"48,498"
Alila,2003,"48,493",0,"48,493"
Following,1998,"48,482",0,"48,482"
The Perfect Host,2010,"48,430",0,"48,430"
Jing wu feng yun: Chen Zhen,2010,"48,398",0,"48,398"
"Lebanon, Pa.",2010,"48,381",0,"48,381"
Pianomania,2009,"48,349",0,"48,349"
"Politist, adjectiv",2009,"48,298",0,"48,298"
The Situation,2006/I,"48,195",0,"48,195"
Shakespeare Behind Bars,2005,"48,194",0,"48,194"
The Warrior,2001,"48,160",0,"48,160"
Natural Selection,2011,"48,153",0,"48,153"
Putty Hill,2010,"48,132",0,"48,132"
Viva la libertà,2013,"48,125",0,"48,125"
Un flic,1972,"48,040",0,"48,040"
Sukiyaki Western Django,2007,"48,034",0,"48,034"
Jeune & jolie,2013,"48,022",0,"48,022"
The Yes Men Are Revolting,2014,"48,000",0,"48,000"
God Loves Uganda,2013,"47,991",0,"47,991"
Saving Banksy,2017,"47,965",0,"47,965"
Sílení,2005,"47,957",0,"47,957"
Runaway Slave,2012,"47,813",0,"47,813"
Amu,2005,"47,806",0,"47,806"
O Estranho Caso de Angélica,2010,"47,743",0,"47,743"
Ocean of Pearls,2008,"47,732",0,"47,732"
Sing Your Song,2011,"47,718",0,"47,718"
Napoleon,1995,"47,687",0,"47,687"
Orgasm Inc.,2009,"47,622",0,"47,622"
Un couple épatant,2002,"47,602",0,"47,602"
The Motel,2005,"47,587",0,"47,587"
Tusen ganger god natt,2013,"47,331",0,"47,331"
Interview with the Assassin,2002,"47,329",0,"47,329"
Povelitel luzh,2002,0,"47,298","47,298"
Ken Park,2002,0,"47,292","47,292"
Gohatto,1999,"47,234",0,"47,234"
Das Goebbels-Experiment,2005,"47,211",0,"47,211"
Jerichow,2008,"47,175",0,"47,175"
Swimming Upstream,2003,"47,171",0,"47,171"
Surviving Progress,2011,"47,139",0,"47,139"
Gunnin' for That #1 Spot,2008,"47,122",0,"47,122"
On the Ropes,1999,"47,074",0,"47,074"
Cú và chim se se,2007,"47,071",0,"47,071"
Arguing the World,1998,"47,044",0,"47,044"
De 7 dødssyndene,2000,0,"46,978","46,978"
Collapse,2009/II,"46,964",0,"46,964"
A Master Builder,2013,"46,874",0,"46,874"
Over Your Cities Grass Will Grow,2010,"46,834",0,"46,834"
Never Been Thawed,2005,"46,812",0,"46,812"
Twenty Two,2015/I,"46,796",0,"46,796"
Home Delivery: Aapko... Ghar Tak,2005,"46,730",0,"46,730"
Journal d'une femme de chambre,2015,"46,675",0,"46,675"
Yurîka,2000,"46,635",0,"46,635"
Command and Control,2016,"46,603",0,"46,603"
"Alphaville, une étrange aventure de Lemmy Caution",1965,"46,585",0,"46,585"
El juego de Arcibel,2003,0,"46,512","46,512"
Beeswax,2009,"46,505",0,"46,505"
LOL,2012,"46,500",0,"46,500"
Margaret,2011/I,"46,495",0,"46,495"
Ma ma,2015,"46,476",0,"46,476"
December Boys,2007,"46,474",0,"46,474"
Dong gong xi gong,1996,"46,470",0,"46,470"
Ca$h,2010,"46,451",0,"46,451"
Bigger,2018,"46,382",0,"46,382"
William S. Burroughs: A Man Within,2010,"46,380",0,"46,380"
TiMER,2009,0,"46,378","46,378"
The Last Time I Committed Suicide,1997,"46,362",0,"46,362"
Venkovský ucitel,2008,"46,245",0,"46,245"
La guerre est déclarée,2011,"46,225",0,"46,225"
Casi divas,2008,"46,180",0,"46,180"
Breakfast with Scot,2007,"46,060",0,"46,060"
XXY,2007,"46,011",0,"46,011"
So B. It,2016,"46,006",0,"46,006"
In Jackson Heights,2015,"45,896",0,"45,896"
The Monkey's Mask,2000,"45,826",0,"45,826"
Two Weeks,2006,"45,816",0,"45,816"
An Alan Smithee Film: Burn Hollywood Burn,1997,"45,779",0,"45,779"
Ellie Parker,2005,"34,410","11,345","45,755"
Splendor,1999,"45,703",0,"45,703"
Rapt,2009,"45,669",0,"45,669"
Shotgun Stories,2007,"45,661",0,"45,661"
Jewtopia,2012,"45,660",0,"45,660"
Girl Asleep,2015,"45,650",0,"45,650"
La nouvelle guerre des boutons,2011,"45,602",0,"45,602"
Bra Boys,2007,"45,589",0,"45,589"
3 Weeks in Yerevan,2016,"45,536",0,"45,536"
Tout près des étoiles: Les danseurs de l'Opéra de Paris,2001,"45,500",0,"45,500"
Straight-Jacket,2004,"45,463",0,"45,463"
