name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Strangeland,1998,"631,221",0,"631,221"
Ride with the Devil,1999/I,"630,779",0,"630,779"
Forever Strong,2008,"630,649",0,"630,649"
Beaumarchais l'insolent,1996,"630,269",0,"630,269"
Walk with Me,2017/I,"628,488",0,"628,488"
The Last Vermeer,2019,"628,077",0,"628,077"
Pumping Iron II: The Women,1985,"628,050",0,"628,050"
Piet Piraat en het vliegende schip,2006,0,"627,745","627,745"
Deadly Illusion,1987,"626,724",0,"626,724"
"The Prize Winner of Defiance, Ohio",2005,"626,310",0,"626,310"
Girl Shy,1924,"625,466",0,"625,466"
"Boys Life: Three Stories of Love, Lust, and Liberation",1994,"625,423",0,"625,423"
Hurlevent,1985,"624,643",0,"624,643"
El hijo de la novia,2001,"624,153",0,"624,153"
Safety Last!,1923,"623,809",0,"623,809"
Fiza,2000,"623,791",0,"623,791"
Un secret,2007,"623,415",0,"623,415"
Texas Rangers,2001,"623,374",0,"623,374"
Spike of Bensonhurst,1988,"623,112",0,"623,112"
Sherrybaby,2006,"199,176","423,630","622,806"
Amreeka,2009,"622,164",0,"622,164"
Range 15,2016,"621,738",0,"621,738"
Cronos,1993,"621,392",0,"621,392"
My First Mister,2001,"621,377",0,"621,377"
Ajami,2009,"621,240",0,"621,240"
"Kumiko, the Treasure Hunter",2014,"621,127",0,"621,127"
The Van,1996,"621,093",0,"621,093"
Professione: reporter,1975,"619,744",0,"619,744"
Trembling Before G-d,2001,"619,612",0,"619,612"
Fever Pitch,1985,"618,847",0,"618,847"
Cage,1989,"618,178",0,"618,178"
The Squaw Man,1918,"618,152",0,"618,152"
Plein soleil,1960,"618,090",0,"618,090"
Grace of My Heart,1996,"617,632",0,"617,632"
The House of Yes,1997,"617,403",0,"617,403"
Howl,2010,"617,334",0,"617,334"
The Celestine Prophecy,2006,"617,236",0,"617,236"
Obsluhoval jsem anglického krále,2006,"617,228",0,"617,228"
It's My Party,1996,"616,663",0,"616,663"
My Life So Far,1999,"616,310",0,"616,310"
Stonewall,1995,"616,248",0,"616,248"
The Bronze,2015,"615,654",0,"615,654"
Vincere,2009,"615,278",0,"615,278"
Guinevere,1999,"614,202",0,"614,202"
Cìkè Niè Yinniáng,2015,"613,556",0,"613,556"
Barbarella,1968,"613,285",0,"613,285"
Going Upriver: The Long War of John Kerry,2004,"613,252",0,"613,252"
Tickled,2016,"612,816",0,"612,816"
Queens Logic,1991,"612,781",0,"612,781"
Baar Baar Dekho,2016,"612,363",0,"612,363"
Ozu no mahôtsukai,1982,"612,300",0,"612,300"
Le Havre,2011,"611,709",0,"611,709"
Léolo,1992,"610,488",0,"610,488"
The Return of Superfly,1990,"610,402",0,"610,402"
The Beast of the City,1932,"408,000","202,000","610,000"
Henry: Portrait of a Serial Killer,1986,"609,939",0,"609,939"
Poison,1991,"609,524",0,"609,524"
The Basket,1999,"609,042",0,"609,042"
Felicity,1978,0,"608,933","608,933"
Dead Before Dawn 3D,2012,0,"608,881","608,881"
Ruby Cairo,1992,"608,866",0,"608,866"
Welcome to Me,2014,"608,852",0,"608,852"
City of Gold,2015,"608,799",0,"608,799"
Some Mother's Son,1996,"608,032",0,"608,032"
Gunner Palace,2004,"607,502",0,"607,502"
Not Fade Away,2012,"607,327",0,"607,327"
